ID	Forward	Reverse	home_location	home_sequence	hybrid
P4_D1	P4_D1_Fw	P4_D1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_D2	P4_D2_Fw	P4_D2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_D3	P4_D3_Fw	P4_D3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_D1	P5_D1_Fw	P5_D1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_D2	P5_D2_Fw	P5_D2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_D3	P5_D3_Fw	P5_D3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_D1	P6_D1_Fw	P6_D1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_D2	P6_D2_Fw	P6_D2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_D3	P6_D3_Fw	P6_D3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD1	P4_UD1_Fw	P4_UD1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD2	P4_UD2_Fw	P4_UD2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD3	P4_UD3_Fw	P4_UD3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD4	P4_UD4_Fw	P4_UD4_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD5	P4_UD5_Fw	P4_UD5_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P4_UD6	P4_UD6_Fw	P4_UD6_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD1	P5_UD1_Fw	P5_UD1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD2	P5_UD2_Fw	P5_UD2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD3	P5_UD3_Fw	P5_UD3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD4	P5_UD4_Fw	P5_UD4_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD5	P5_UD5_Fw	P5_UD5_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P5_UD6	P5_UD6_Fw	P5_UD6_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD1	P6_UD1_Fw	P6_UD1_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD2	P6_UD2_Fw	P6_UD2_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD3	P6_UD3_Fw	P6_UD3_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD4	P6_UD4_Fw	P6_UD4_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD5	P6_UD5_Fw	P6_UD5_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
P6_UD6	P6_UD6_Fw	P6_UD6_Rv	Giorgetti_arms	Giorgetti_split_GFP	-
